Rk,Name,YoB,Votes,Pvote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,Gp,GS,SV,IP,Hp,HRp,BBp,SO,PosSummary,Year
708,y X-Ellis Burks,1st,2,0.004,52,42,18,49.8,32,40.9,57.8,2000,7232,1253,2107,352,1206,181,793,0.291,0.363,0.51,0.874,126,,,,,,,,,,,,,,*8*9*D7,2010
709,y X-David Segui,1st,1,0.002,15,16,15,10.4,13.7,12.1,54.8,1456,4847,683,1412,139,684,17,524,0.291,0.359,0.443,0.802,110,,,,,,,,,,,,,,*3D7/9,2010
710,y X-Kevin Appier,1st,1,0.002,32,24,16,54.5,43.1,48.8,61.5,41,83,4,8,0,4,0,1,0.096,0.118,0.096,0.214,-42,169,137,3.74,121,1.294,414,402,0,2595.1,2425,232,933,1994,*1,2010
711,y X-Pat Hentgen,1st,1,0.002,37,12,14,32.6,30.6,31.6,61.5,42,84,4,9,0,0,0,4,0.107,0.148,0.107,0.255,-34,131,112,4.32,108,1.391,344,306,1,2075.1,2111,269,775,1290,*1,2010
712,y X-Michael Jackson,1st,0,0,47,11,17,18.9,13.7,16.3,32.5,374,28,3,5,0,1,0,1,0.179,0.207,0.25,0.457,21,62,67,3.42,126,1.218,1005,7,142,1188.1,983,127,464,1006,*1,2010
713,y X-Todd Zeile,1st,0,0,14,27,16,19.5,15,17.2,55.7,2158,7573,986,2004,253,1110,53,945,0.265,0.346,0.423,0.769,104,0,0,22.5,27,3.5,2,0,0,2,5,0,2,1,*5*32/D71,2010
714,y X-Shane Reynolds,1st,0,0,18,12,13,17.8,19.3,18.6,61.5,296,546,34,77,5,43,0,14,0.141,0.165,0.196,0.361,-5,114,96,4.09,103,1.314,305,278,0,1791.2,1935,191,419,1403,*1,2010
715,y X-Ray Lankford,1st,0,0,23,26,14,38.2,31.5,34.8,57.8,1701,5747,968,1561,238,874,258,828,0.272,0.364,0.477,0.84,123,,,,,,,,,,,,,,*8*7/D9,2010
716,y Roberto Alomar,2nd,523,0.9,194,57,17,67.1,42.9,55,56.9,2379,9073,1508,2724,210,1134,474,1032,0.3,0.371,0.443,0.814,116,,,,,,,,,,,,,,*4/D6,2011
717,y Bert Blyleven,14th,463,0.797,121,50,22,94.4,50.3,72.4,61.5,218,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,*1,2011
718,y Barry Larkin HOF,2nd,361,0.621,121,47,19,70.4,43.3,56.9,55,2180,7937,1329,2340,198,960,379,939,0.295,0.371,0.444,0.815,116,,,,,,,,,,,,,,*6/4D,2011
719,y Jack Morris HOF,12th,311,0.535,123,39,18,43.4,32.5,38,61.5,23,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,2011
720,y Lee Smith HOF,9th,263,0.453,127,13,18,28.9,20.8,24.8,32.5,770,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,2011
721,y Jeff Bagwell HOF,1st,242,0.417,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9,2011
722,y Tim Raines HOF,4th,218,0.375,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9,2011
723,y Edgar Martinez HOF,2nd,191,0.329,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3,2011
724,y Alan Trammell HOF,10th,141,0.243,119,40,20,70.7,44.8,57.8,55,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478,2011
725,y Larry Walker,1st,118,0.203,148,58,17,72.7,44.7,58.7,56.8,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45,2011
726,y Mark McGwire,5th,115,0.198,170,42,16,62.2,41.9,52,54.8,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59,2011
727,y Fred McGriff,2nd,104,0.179,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D,2011
728,y X-Dave Parker,15th,89,0.153,125,42,19,40.1,37.4,38.7,56.8,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,,,,,,,,,,,,,,*9*D78/34,2011
729,y Don Mattingly,11th,79,0.136,134,34,14,42.4,35.7,39.1,54.8,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,,,,,,,,,,,,,,*3D97/548,2011
730,y Dale Murphy,13th,73,0.126,116,34,18,46.5,41.2,43.9,57.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,,,,,,,,,,,,,,*8*9372,2011
731,y Rafael Palmeiro,1st,64,0.11,178,57,20,71.9,38.9,55.4,54.8,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,,,,,,,,,,,,,,*3*D7/98,2011
732,y Juan Gonzalez,1st,30,0.052,123,40,17,38.7,29.2,33.9,56.8,1689,6556,1061,1936,434,1404,26,457,0.295,0.343,0.561,0.904,132,,,,,,,,,,,,,,*9*D*78,2011
733,y X-Harold Baines HOF,5th,28,0.048,67,44,22,38.7,21.4,30.1,56.8,2830,9908,1299,2866,384,1628,34,1062,0.289,0.356,0.465,0.82,121,,,,,,,,,,,,,,*D*98/7,2011
734,y X-John Franco,1st,27,0.046,109,11,21,23.4,15.3,19.3,32.5,1095,34,2,3,0,1,0,0,0.088,0.088,0.088,0.176,-52,90,87,2.89,138,1.333,1119,0,424,1245.2,1166,81,495,975,*1,2011
735,y X-Kevin Brown,1st,12,0.021,93,41,19,67.8,45.2,56.5,61.5,235,495,20,64,2,29,0,19,0.129,0.169,0.162,0.331,-11,211,144,3.28,127,1.222,486,476,0,3256.1,3079,208,901,2397,*1,2011
736,y X-Tino Martinez,1st,6,0.01,41,26,16,29,21.8,25.4,54.8,2023,7111,1009,1925,339,1271,27,780,0.271,0.344,0.471,0.815,112,,,,,,,,,,,,,,*3D,2011
737,y X-Marquis Grissom,1st,4,0.007,48,26,17,29.6,27.5,28.5,57.8,2165,8275,1187,2251,227,967,429,553,0.272,0.318,0.415,0.732,92,,,,,,,,,,,,,,*879/D,2011
738,y X-John Olerud,1st,4,0.007,68,39,17,58.2,39,48.6,54.8,2234,7592,1139,2239,255,1230,11,1275,0.295,0.398,0.465,0.863,129,,,,,,,,,,,,,,*3D,2011
739,y X-Al Leiter,1st,4,0.007,42,21,19,40,32.5,36.2,61.5,271,530,15,45,0,16,0,35,0.085,0.142,0.102,0.243,-34,162,132,3.8,112,1.386,419,382,2,2391,2152,198,1163,1974,*1,2011
740,y X-B.J. Surhoff,1st,2,0.003,30,27,19,34.4,22.4,28.4,53.6,2313,8258,1062,2326,188,1153,141,640,0.282,0.332,0.413,0.745,98,,,,,,,,,,,,,,*7*2*53D9/846,2011
741,y X-Bret Boone,1st,1,0.002,63,27,14,22.8,25.1,24,56.9,1780,6683,927,1775,252,1021,94,552,0.266,0.325,0.442,0.767,101,,,,,,,,,,,,,,*4/5D,2011
742,y X-Benito Santiago,1st,1,0.002,94,30,20,27.3,18.5,22.9,44.7,1978,6951,755,1830,217,920,91,430,0.263,0.307,0.415,0.722,93,,,,,,,,,,,,,,*2/37D,2011
743,y X-Lenny Harris,1st,0,0,8,9,18,1.7,7.1,4.4,55.7,1903,3924,460,1055,37,369,131,279,0.269,0.318,0.349,0.667,80,0,0,0,,0,1,0,0,1,0,0,0,1,*5*49736/D81,2011
744,y X-Kirk Rueter,1st,0,0,11,14,13,16.4,14.7,15.5,61.5,336,622,44,95,0,40,1,27,0.153,0.187,0.167,0.354,-6,130,92,4.27,97,1.394,340,336,0,1918,2092,220,582,818,*1,2011
