Rk,Name,YoB,Votes,Pvote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,Gp,GS,SV,IP,Hp,HRp,BBp,SO,PosSummary,Year
776,y Craig Biggio HOF,1st,388,0.682,169,57,20,65.5,41.8,53.7,56.9,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,,,,,,,,,,,,,,*4*287/D9,2013
777,y Jack Morris HOF,14th,385,0.677,123,39,18,43.4,32.5,38,61.5,23,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,2013
778,y Jeff Bagwell HOF,3rd,339,0.596,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9,2013
779,y Mike Piazza HOF,1st,329,0.578,207,62,16,59.6,43.1,51.4,44.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142,,,,,,,,,,,,,,*2D3,2013
780,y Tim Raines HOF,6th,297,0.522,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9,2013
781,y Lee Smith HOF,11th,272,0.478,127,13,18,28.9,20.8,24.8,32.5,770,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,2013
782,y Curt Schilling,1st,221,0.388,171,46,20,79.5,48.6,64.1,61.5,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,2013
783,y Roger Clemens,1st,214,0.376,332,73,24,139.2,65.9,102.5,61.5,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,2013
784,y Barry Bonds,1st,206,0.362,340,77,22,162.8,72.7,117.8,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9,2013
785,y Edgar Martinez HOF,4th,204,0.359,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3,2013
786,y Alan Trammell HOF,12th,191,0.336,119,40,20,70.7,44.8,57.8,55,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478,2013
787,y Larry Walker,3rd,123,0.216,148,58,17,72.7,44.7,58.7,56.8,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45,2013
788,y Fred McGriff,4th,118,0.207,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D,2013
789,y X-Dale Murphy,15th,106,0.186,116,34,18,46.5,41.2,43.9,57.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,,,,,,,,,,,,,,*8*9372,2013
790,y Mark McGwire,7th,96,0.169,170,42,16,62.2,41.9,52,54.8,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59,2013
791,y Don Mattingly,13th,75,0.132,134,34,14,42.4,35.7,39.1,54.8,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,,,,,,,,,,,,,,*3D97/548,2013
792,y Sammy Sosa,1st,71,0.125,202,52,18,58.6,43.8,51.2,56.8,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98D/7,2013
793,y Rafael Palmeiro,3rd,50,0.088,178,57,20,71.9,38.9,55.4,54.8,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,,,,,,,,,,,,,,*3*D7/98,2013
794,y X-Bernie Williams,2nd,19,0.033,134,48,16,49.6,37.6,43.6,57.8,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125,,,,,,,,,,,,,,*8D9/7,2013
795,y X-Kenny Lofton,1st,18,0.032,91,43,17,68.3,43.4,55.9,57.8,2103,8120,1528,2428,130,781,622,945,0.299,0.372,0.423,0.794,107,,,,,,,,,,,,,,*87/D9,2013
796,y X-Sandy Alomar,1st,16,0.028,49,24,20,13.7,13.1,13.4,44.7,1377,4530,520,1236,112,588,25,212,0.273,0.309,0.406,0.716,86,,,,,,,,,,,,,,*2/D3,2013
797,y X-Julio Franco,1st,6,0.011,58,42,23,43.5,30.8,37.2,56.9,2527,8677,1285,2586,173,1194,281,917,0.298,0.365,0.417,0.782,111,,,,,,,,,,,,,,*6*4*3*D/579,2013
798,y X-David Wells,1st,5,0.009,87,40,21,53.5,31.4,42.4,61.5,86,178,8,23,0,5,0,3,0.129,0.148,0.14,0.289,-22,239,157,4.13,108,1.266,660,489,13,3439,3635,407,719,2201,*1,2013
799,y X-Steve Finley,1st,4,0.007,72,36,19,44.3,32.1,38.2,57.8,2583,9397,1443,2548,304,1167,320,844,0.271,0.332,0.442,0.775,104,0,0,0,,1,1,0,0,1,0,0,1,0,*897/D1,2013
800,y X-Shawn Green,1st,2,0.004,62,33,15,34.7,31.5,33.1,56.8,1951,7082,1129,2003,328,1070,162,744,0.283,0.355,0.494,0.85,120,,,,,,,,,,,,,,*9387D,2013
801,y X-Aaron Sele,1st,1,0.002,21,15,15,20.1,19.1,19.6,61.5,72,58,5,9,0,1,0,3,0.155,0.197,0.19,0.386,1,148,112,4.61,100,1.491,404,352,0,2153,2413,225,798,1407,*1,2013
802,y X-Jeff Conine,1st,0,0,22,23,17,19.5,17.8,18.7,53.6,2024,6957,870,1982,214,1071,54,671,0.285,0.347,0.443,0.789,107,,,,,,,,,,,,,,*3*79D5,2013
803,y X-Ryan Klesko,1st,0,0,24,26,16,27,21.8,24.4,54.8,1736,5611,874,1564,278,987,91,817,0.279,0.37,0.5,0.87,128,,,,,,,,,,,,,,*7*39/D,2013
804,y X-Roberto Hernandez,1st,0,0,86,7,17,18.5,18.4,18.5,32.5,322,2,0,1,0,0,0,0,0.5,0.5,0.5,1,166,67,71,3.45,131,1.367,1010,3,326,1071.1,1002,96,462,945,*1,2013
805,y X-Mike Stanton,1st,0,0,62,7,19,14.3,15.5,14.9,32.5,639,24,3,8,0,3,0,1,0.333,0.36,0.375,0.735,96,68,63,3.92,112,1.352,1178,1,84,1114,1086,93,420,895,*1,2013
806,y X-Woody Williams,1st,0,0,17,14,15,30.2,21.9,26.1,61.5,271,540,52,105,4,43,1,17,0.194,0.222,0.267,0.489,28,132,116,4.19,103,1.321,424,330,0,2216.1,2217,309,711,1480,*1,2013
807,y X-Rondell White,1st,0,0,6,17,15,28.3,22.5,25.4,53.6,1474,5357,756,1519,198,768,94,360,0.284,0.336,0.462,0.799,108,,,,,,,,,,,,,,*7*8D,2013
808,y X-Reggie Sanders,1st,0,0,18,27,17,39.8,26.7,33.2,56.8,1777,6241,1037,1666,305,983,304,674,0.267,0.343,0.487,0.83,115,,,,,,,,,,,,,,*9*78/D,2013
809,y X-Jeff Cirillo,1st,0,0,37,23,14,34.5,30.5,32.5,55.7,1617,5396,800,1598,112,727,63,563,0.296,0.366,0.43,0.796,102,0,0,0,,2,1,0,0,1,0,0,2,1,*534D/671,2013
810,y X-Jose Mesa,1st,0,0,106,1,19,11.4,12.8,12.1,32.5,480,2,1,0,0,0,0,1,0,0.333,0,0.333,-3,80,109,4.36,100,1.472,1022,95,321,1548.2,1629,151,651,1038,*1,2013
811,y X-Todd Walker,1st,0,0,10,22,12,10.5,9.8,10.2,56.9,1288,4554,647,1316,107,545,66,421,0.289,0.348,0.435,0.783,98,,,,,,,,,,,,,,*453D/76,2013
812,y X-Royce Clayton,1st,0,0,24,23,17,19.6,17.4,18.5,55,2108,7379,935,1904,110,723,231,565,0.258,0.312,0.367,0.679,78,,,,,,,,,,,,,,*6/5D,2013
813,y Greg Maddux,1st,555,0.972,254,70,23,106.6,56.3,81.4,61.5,737,1591,103,272,5,84,11,34,0.171,0.191,0.205,0.395,5,355,227,3.16,132,1.143,744,740,0,5008.1,4726,353,999,3371,*1,2014
814,y Tom Glavine,1st,525,0.919,177,52,22,80.7,44.2,62.4,61.5,688,1323,93,246,1,90,1,101,0.186,0.244,0.21,0.454,22,305,203,3.54,118,1.314,682,682,0,4413.1,4298,356,1500,2607,*1,2014
815,y Frank Thomas,1st,478,0.837,194,60,19,73.9,45.4,59.6,54.8,2322,8199,1494,2468,521,1704,32,1667,0.301,0.419,0.555,0.974,156,,,,,,,,,,,,,,*D*3,2014
816,y Craig Biggio HOF,2nd,427,0.748,169,57,20,65.5,41.8,53.7,56.9,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,,,,,,,,,,,,,,*4*287/D9,2014
817,y Mike Piazza HOF,2nd,355,0.622,207,62,16,59.6,43.1,51.4,44.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142,,,,,,,,,,,,,,*2D3,2014
818,y X-Jack Morris HOF,15th,351,0.615,123,39,18,43.4,32.5,38,61.5,23,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,2014
819,y Jeff Bagwell HOF,4th,310,0.543,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9,2014
820,y Tim Raines HOF,7th,263,0.461,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9,2014
821,y Roger Clemens,2nd,202,0.354,332,73,24,139.2,65.9,102.5,61.5,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,2014
822,y Barry Bonds,2nd,198,0.347,340,77,22,162.8,72.7,117.8,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9,2014
823,y Lee Smith HOF,12th,171,0.299,127,13,18,28.9,20.8,24.8,32.5,770,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,2014
824,y Curt Schilling,2nd,167,0.292,171,46,20,79.5,48.6,64.1,61.5,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,2014
825,y Edgar Martinez HOF,5th,144,0.252,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3,2014
826,y Alan Trammell HOF,13th,119,0.208,119,40,20,70.7,44.8,57.8,55,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478,2014
827,y Mike Mussina HOF,1st,116,0.203,121,54,18,82.8,44.5,63.6,61.5,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,2014
828,y Jeff Kent,1st,87,0.152,123,51,17,55.4,35.7,45.6,56.9,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453/D6,2014
829,y Fred McGriff,5th,67,0.117,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D,2014
830,y Mark McGwire,8th,63,0.11,170,42,16,62.2,41.9,52,54.8,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59,2014
831,y Larry Walker,4th,58,0.102,148,58,17,72.7,44.7,58.7,56.8,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45,2014
832,y Don Mattingly,14th,47,0.082,134,34,14,42.4,35.7,39.1,54.8,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,,,,,,,,,,,,,,*3D97/548,2014
833,y Sammy Sosa,2nd,41,0.072,202,52,18,58.6,43.8,51.2,56.8,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98D/7,2014
834,y X-Rafael Palmeiro,4th,25,0.044,178,57,20,71.9,38.9,55.4,54.8,2831,10472,1663,3020,569,1835,97,1353,0.288,0.371,0.515,0.885,132,,,,,,,,,,,,,,*3*D7/98,2014
835,y X-Hideo Nomo,1st,6,0.011,24,14,12,20.9,22.7,21.8,61.5,233,485,22,65,4,26,0,13,0.134,0.156,0.192,0.348,-7,123,109,4.24,97,1.354,323,318,0,1976.1,1768,251,908,1918,*1,2014
836,y X-Moises Alou,1st,6,0.011,81,44,17,39.9,27.7,33.8,53.6,1942,7037,1109,2134,332,1287,106,737,0.303,0.369,0.516,0.885,128,,,,,,,,,,,,,,*7*98/D,2014
837,y X-Luis Gonzalez,1st,5,0.009,103,48,19,51.8,34,42.9,53.6,2591,9157,1412,2591,354,1439,128,1155,0.283,0.367,0.479,0.845,119,,,,,,,,,,,,,,*7/D9835,2014
838,y X-J.T. Snow,1st,2,0.004,16,16,16,11,12.8,11.9,54.8,1716,5641,798,1509,189,877,20,760,0.268,0.357,0.427,0.784,105,,,,,,,,,,,,,,*3/D,2014
839,y X-Eric Gagne,1st,2,0.004,37,17,10,11.7,11.8,11.8,32.5,337,86,5,12,1,3,0,1,0.14,0.149,0.221,0.37,-4,33,26,3.47,119,1.156,402,48,187,643.2,518,76,226,718,*1,2014
840,y X-Armando Benitez,1st,1,0.002,61,14,15,17.3,16.3,16.8,32.5,513,8,0,0,0,2,0,0,0,0,0,0,-100,40,47,3.13,140,1.217,762,0,289,779,545,95,403,946,*1,2014
841,y X-Jacque Jones,1st,1,0.002,9,12,10,11.6,13.2,12.4,53.6,1302,4594,632,1272,165,630,82,314,0.277,0.326,0.448,0.775,98,,,,,,,,,,,,,,*9*78D,2014
842,y X-Kenny Rogers,1st,1,0.002,65,29,20,50.4,35.2,42.8,61.5,35,66,5,9,0,4,1,4,0.136,0.186,0.182,0.368,-4,219,156,4.27,107,1.403,762,474,28,3302.2,3457,339,1175,1968,*1,2014
843,y X-Paul Lo Duca,1st,0,0,21,26,11,17.9,18.7,18.3,44.7,1082,3892,483,1112,80,481,20,266,0.286,0.337,0.409,0.746,97,,,,,,,,,,,,,,*237/D95,2014
844,y X-Sean Casey,1st,0,0,39,19,12,16.5,16.4,16.4,54.8,1405,5066,690,1531,130,735,18,477,0.302,0.367,0.447,0.814,109,,,,,,,,,,,,,,*3D,2014
845,y X-Ray Durham,1st,0,0,64,33,14,33.8,25.8,29.8,56.9,1975,7408,1249,2054,192,875,273,820,0.277,0.352,0.436,0.788,104,,,,,,,,,,,,,,*4D/8,2014
846,y X-Todd Jones,1st,0,0,77,3,16,10.3,11,10.7,32.5,471,19,1,4,0,0,0,1,0.211,0.25,0.263,0.513,36,58,63,3.97,111,1.413,982,1,319,1072,1072,93,443,868,*1,2014
847,y X-Richie Sexson,1st,0,0,46,21,12,18,18.9,18.5,54.8,1367,4928,748,1286,306,943,14,588,0.261,0.344,0.507,0.851,120,,,,,,,,,,,,,,*37D/9,2014
848,y X-Mike Timlin,1st,0,0,46,8,18,19,13.6,16.3,32.5,194,7,0,0,0,0,0,0,0,0,0,0,-100,75,73,3.63,125,1.283,1058,4,141,1204.1,1168,118,377,872,*1,2014
849,y Randy Johnson,1st,534,0.973,331,65,22,101.1,61.5,81.3,61.5,273,625,20,78,1,40,0,19,0.125,0.153,0.152,0.305,-22,303,166,3.29,135,1.171,618,603,2,4135.1,3346,411,1497,4875,*1/7,2015
850,y Pedro Martinez,1st,500,0.911,206,60,18,83.9,58.2,71.1,61.5,277,434,22,43,0,18,0,15,0.099,0.134,0.122,0.256,-32,219,100,2.93,154,1.054,476,409,3,2827.1,2221,239,760,3154,*1,2015
851,y John Smoltz,1st,455,0.829,162,44,21,69,38.8,53.9,61.5,709,948,77,151,5,61,3,79,0.159,0.226,0.207,0.433,16,213,155,3.33,125,1.176,723,481,154,3473,3074,288,1010,3084,*1,2015
852,y Craig Biggio,3rd,454,0.827,169,57,20,65.5,41.8,53.7,56.9,2850,10876,1844,3060,291,1175,414,1160,0.281,0.363,0.433,0.796,112,,,,,,,,,,,,,,*4*287/D9,2015
853,y Mike Piazza HOF,3rd,384,0.699,207,62,16,59.6,43.1,51.4,44.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142,,,,,,,,,,,,,,*2D3,2015
854,y Jeff Bagwell HOF,5th,306,0.557,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9,2015
855,y Tim Raines HOF,8th,302,0.55,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9,2015
856,y Curt Schilling,3rd,215,0.392,171,46,20,79.5,48.6,64.1,61.5,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,2015
857,y Roger Clemens,3rd,206,0.375,332,73,24,139.2,65.9,102.5,61.5,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,2015
858,y Barry Bonds,3rd,202,0.368,340,77,22,162.8,72.7,117.8,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9,2015
859,y Lee Smith HOF,13th,166,0.302,127,13,18,28.9,20.8,24.8,32.5,770,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,2015
860,y Edgar Martinez HOF,6th,148,0.27,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3,2015
861,y Alan Trammell HOF,14th,138,0.251,119,40,20,70.7,44.8,57.8,55,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478,2015
862,y Mike Mussina HOF,2nd,135,0.246,121,54,18,82.8,44.5,63.6,61.5,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,2015
863,y Jeff Kent,2nd,77,0.14,123,51,17,55.4,35.7,45.6,56.9,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453/D6,2015
864,y Fred McGriff,6th,71,0.129,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D,2015
865,y Larry Walker,5th,65,0.118,148,58,17,72.7,44.7,58.7,56.8,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45,2015
866,y Gary Sheffield,1st,64,0.117,158,61,22,60.5,38,49.3,56.8,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6/3,2015
867,y Mark McGwire,9th,55,0.1,170,42,16,62.2,41.9,52,54.8,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59,2015
868,y X-Don Mattingly,15th,50,0.091,134,34,14,42.4,35.7,39.1,54.8,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,,,,,,,,,,,,,,*3D97/548,2015
869,y Sammy Sosa,3rd,36,0.066,202,52,18,58.6,43.8,51.2,56.8,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98D/7,2015
870,y Nomar Garciaparra,1st,30,0.055,113,41,14,44.2,43.1,43.7,55,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124,,,,,,,,,,,,,,*635/D4,2015
871,y X-Carlos Delgado,1st,21,0.038,110,44,17,44.4,34.5,39.5,54.8,2035,7283,1241,2038,473,1512,14,1109,0.28,0.383,0.546,0.929,138,,,,,,,,,,,,,,*3D7/2,2015
872,y X-Troy Percival,1st,4,0.007,85,14,14,17,14.8,15.9,32.5,68,5,0,0,0,0,0,0,0,0,0,0,-100,35,43,3.17,146,1.108,703,1,358,708.2,479,85,306,781,*1,2015
873,y X-Tom Gordon,1st,2,0.004,44,15,21,34.9,23.3,29.1,32.5,239,2,0,0,0,0,0,0,0,0,0,0,-100,138,126,3.96,113,1.36,890,203,158,2108,1889,176,977,1928,*1/D,2015
874,y X-Aaron Boone,1st,2,0.004,4,15,12,13.5,15.2,14.4,55.7,1152,3871,519,1017,126,555,107,303,0.263,0.326,0.425,0.751,94,,,,,,,,,,,,,,*536/4D,2015
875,y X-Darin Erstad,1st,1,0.002,35,14,14,32.4,28.9,30.6,57.8,1654,6024,913,1697,124,699,179,475,0.282,0.336,0.407,0.743,93,,,,,,,,,,,,,,*3*8*7D/9,2015
876,y X-Cliff Floyd,1st,0,0,23,22,17,26,25.1,25.5,53.6,1621,5319,824,1479,233,865,148,601,0.278,0.358,0.482,0.84,119,,,,,,,,,,,,,,*79D3/8,2015
877,y X-Tony Clark,1st,0,0,24,16,15,12.4,15.9,14.1,54.8,1559,4532,629,1188,251,824,6,527,0.262,0.339,0.485,0.824,112,,,,,,,,,,,,,,*3D/7,2015
878,y X-Jermaine Dye,1st,0,0,49,25,14,20.3,23.3,21.8,56.8,1763,6487,984,1779,325,1072,46,597,0.274,0.338,0.488,0.826,111,,,,,,,,,,,,,,*9D/7836,2015
879,y X-Rich Aurilia,1st,0,0,31,20,15,18.2,16.8,17.5,55,1652,5721,745,1576,186,756,23,450,0.275,0.328,0.433,0.762,99,,,,,,,,,,,,,,*6354/D,2015
880,y X-Jason Schmidt,1st,0,0,41,18,14,29.5,27.2,28.3,61.5,309,597,29,63,7,21,0,22,0.106,0.14,0.156,0.296,-23,130,96,3.96,110,1.321,323,314,0,1996.1,1846,184,792,1758,*1,2015
881,y X-Brian Giles,1st,0,0,53,41,15,51.1,37.4,44.2,56.8,1847,6527,1121,1897,287,1078,109,1183,0.291,0.4,0.502,0.902,136,,,,,,,,,,,,,,*9*7*8D,2015
882,y X-Eddie Guardado,1st,0,0,46,6,17,13.2,10.8,12,32.5,77,1,0,0,0,0,0,0,0,0,0,0,-100,46,61,4.31,109,1.315,908,25,187,944.2,894,138,348,798,*1,2015
883,y Ken Griffey Jr.,1st,437,0.993,235,61,22,83.8,54,68.9,57.8,2671,9801,1662,2781,630,1836,184,1312,0.284,0.37,0.538,0.907,136,,,,,,,,,,,,,,*89D/73,2016
884,y Mike Piazza,4th,365,0.83,207,62,16,59.6,43.1,51.4,44.7,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142,,,,,,,,,,,,,,*2D3,2016
885,y Jeff Bagwell HOF,6th,315,0.716,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9,2016
886,y Tim Raines HOF,9th,307,0.698,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9,2016
887,y Trevor Hoffman HOF,1st,296,0.673,159,19,18,27.9,19.4,23.7,32.5,1007,34,1,4,0,5,0,0,0.118,0.118,0.176,0.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1,2016
888,y Curt Schilling,4th,230,0.523,171,46,20,79.5,48.6,64.1,61.5,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1,2016
889,y Roger Clemens,4th,199,0.452,332,73,24,139.2,65.9,102.5,61.5,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,2016
890,y Barry Bonds,4th,195,0.443,340,77,22,162.8,72.7,117.8,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9,2016
891,y Edgar Martinez HOF,7th,191,0.434,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3,2016
892,y Mike Mussina HOF,3rd,189,0.43,121,54,18,82.8,44.5,63.6,61.5,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,2016
893,y X-Alan Trammell HOF,15th,180,0.409,119,40,20,70.7,44.8,57.8,55,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478,2016
894,y Lee Smith HOF,14th,150,0.341,127,13,18,28.9,20.8,24.8,32.5,770,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,2016
895,y Fred McGriff,7th,92,0.209,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D,2016
896,y Jeff Kent,3rd,73,0.166,123,51,17,55.4,35.7,45.6,56.9,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453/D6,2016
897,y Larry Walker,6th,68,0.155,148,58,17,72.7,44.7,58.7,56.8,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45,2016
898,y X-Mark McGwire,10th,54,0.123,170,42,16,62.2,41.9,52,54.8,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59,2016
899,y Gary Sheffield,2nd,51,0.116,158,61,22,60.5,38,49.3,56.8,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6/3,2016
900,y Billy Wagner,1st,46,0.105,107,24,16,27.7,19.8,23.7,32.5,810,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,*1,2016
901,y Sammy Sosa,4th,31,0.07,202,52,18,58.6,43.8,51.2,56.8,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98D/7,2016
902,y X-Jim Edmonds,1st,11,0.025,89,39,17,60.4,42.6,51.5,57.8,2011,6858,1251,1949,393,1199,67,998,0.284,0.376,0.527,0.903,132,,,,,,,,,,,,,,*8739/D,2016
